no,romaji,kana,kanji,meaning_mm
1,ai,あい,愛,အချစ်၊ ချစ်ခင်မြတ်နိုးခြင်း
2,aikawarazu,あいかわらず,相変わらず,ထုံးစံအတိုင်း၊ ခါတိုင်းလိုပဲ၊ အရင်အတိုင်းပဲ၊ ပုံမှန်လိုပဲ
3,aisatsu(suru),あいさつ（する）,挨拶（する）,နှုတ်ဆက်ခြင်း
4,aijyou,あいじょう,愛情,နှစ်သက်မြတ်နိုးမှု၊ အချစ်မေတ္တာ
5,aizu,あいず,合図,အချက်ပြခြင်း
6,aisukurīmu,アイスクリーム,icecream,ရေခဲမုန့်
7,aisuru,あいする,愛する,ချစ်သည်။ ကြိုက်နှစ်သက်သည်။ မြတ်နိုးသည်။
8,aisō,あいそう,愛想,ပျူငှာခြင်း၊ ဖော်ရွေမှု
9,aida,あいだ,間,ကြား
10,aidagara,あいだがら,間柄,ဆက်ဆံမှု၊ ပေါင်းသင်းဆက်ဆံမှု
11,aichaku,あいちゃく,愛着,သံယောဇဥ်၊ စွဲလမ်းချစ်ခင်ခြင်း။
12,aitsugu,あいつぐ,相次ぐ,ထပ်ခါထပ်ခါဖြစ်သည်။ အဆက်မပြတ်ဖြစ်သည်။
13,aite,あいて,相手,တဖက်လူ။ တဘက်သား။
14,aidea,アイデア,idea,အကြံဉာဏ်
15,ainiku,あいにく,,ကံမကောင်းစွာနဲ့
16,aibyōka,あいびょうか,愛猫家,ကြောင်ချစ်သူ
17,aima,あいま,合間,ကြားကာလ၊ ကြားအချိန်၊ အားလပ်အချိန်
18,aimai(na),あいまい（な）,曖昧（な）,မရေမရာဖြစ်သော
19,airon,アイロン,iron,မီးပူ
20,au,あう,合う,ကိုက်ညီသည်။ အံဝင်ခွင်ကျသည်။ တထပ်တည်းဖြစ်သည်။တူညီသည်။
21,au,あう,会う,တွေ့ဆုံသည်။
22,auto,アウト,out,ဘောလုံးက အပြင်ရောက်ခြင်း၊ ဘောလုံးရိုက်သူသေခြင်း၊ အချိန်မမှီခြင်း၊
23,aete,あえて,敢えて,ရဲရဲဝံ့ဝံ့၊ အခက်အခဲရှိပေမယ့်
24,ao,あお,青,အပြာရောင်
25,aoi,あおい,青い,အပြာရောင်ဖြစ်သော၊ ပြာသော
26,aogu,あおぐ,仰ぐ,မော့ကြည့်သည်။ လေးစားသည်။ အကူအညီတောင်းသည်။
27,aojiroi,あおじろい,青白い,ဖြူဖတ်ဖြူရော်၊ မျက်နှာ အမူအရာမကောင်းသော
28,aozora,あおぞら,青空,အပြာရောင်ကောင်းကင်
29,aka,あか,赤,အနီရောင်
30,aka,あか,垢,ဂျီး
31,akai,あかい,赤い,အနီရောင်ဖြစ်သော၊ နီသော
32,akashi,あかし,証,သက်သေ
33,akaji,あかじ,赤字,လိုငွေ၊ အရှုံးပြခြင်း
34,akasu,あかす,明かす,ဖွင့်ပြောသည်။ ညလုံးပေါက်မအိပ်ဘဲ နေသည်။
35,akachan,あかちゃん,赤ちゃん,ခလေးငယ် (နို့စို့)
36,akademikku(na),アカデミック（な）,academic,ပညာရပ်ဆိုင်သော
37,agameru,あがめる,崇める,ကြည်ညိုသည်။ရိုသေလေးစားသည်။
38,akaramu,あからむ,赤らむ,နီလာသည်
39,akari,あかり,明かり,အလင်းရောင်
40,agaru,あがる,上る,တက်သည်
41,akarui,あかるい,明るい,လင်းသော
42,akanbou,あかんぼう,赤ん坊,ခလေးငယ် (နို့စို့)
43,aki,あき,空き,နေရာလွတ်ခြင်း
44,aki,あき,秋,ဆောင်းဦးပေါက်ရာသီ
45,akikan,あきかん,空き缶,သံဗူးလွတ်
46,akippoi,あきっぽい,飽きっぽい,ငြီးငွေ့လွယ်သော
47,akiraka(na),あきらか（な）,明らか（な）,ထင်ရှားသော
48,akirame,あきらめ,諦め,လက်လျှော့ခြင်း
49,akirameru,あきらめる,諦める,လက်လျှော့သည်
50,akiru,あきる,飽きる,ငြီးငွေ့သည်
51,akireru,あきれる,呆れる,အံ့အားသင့်သည်။ ကြောင်နေသည်။ မှင်တက်မိသည်။
52,aku,あく,悪,မကောင်းမှု
53,aku,あく,開く,ပွင့်သည်
54,aku,あく,空く,လစ်လပ်သည်
55,akushyu(suru),あくしゅ（する）,握手（する）,လက်ဆွဲနှုတ်ခြင်း
56,akushū,あくしゅう,悪臭,အပုပ်နံ့၊ အနံ့ဆိုး
57,akushon,アクション,action,လှုပ်ရှားမှု
58,akusesarī,アクセサリー,accessories,ရတနာ အသုံးအဆောင်
59,akuseru,アクセル,accelerator,အရှိန်မြှင့်လီဗာ
60,akusento,アクセント,accent,အသံနေအသံထား
61,akutibu(na),アクティブ（な）,active,စိတ်အားထက်သန်သော
62,akudoi,あくどい,,ဆိုးရွားသော
63,akutō,あくとう,悪童,ဗီလိန်၊ လူကြမ်း၊ ဇာတ်ကြမ်းသမား
64,akubi,あくび,,သန်းဝေခြင်း၊
65,akuheki,あくへき,悪癖,မကောင်းသောအကျင့်၊ အကျင့်ဆိုး
66,akuma,あくま,悪魔,မကောင်းဆိုးဝါး
67,akumade,あくまで,,ဆုံးခန်းတိုင်အောင်
68,akumu,あくむ,悪夢,အိပ်မက်ဆိုး
69,akuru~,あくる～,明くる,နောက်လာမဲ့
70,aguresshibu (na),アグレッシブ（な）,aggressive,ပြိုင်ဆိုင်ချင်စိတ်များသော
71,akegata,あけがた,明け方,မိုးလင်းချိန်
72,akeru,あける,明ける,မိုးလင်းသည်
73,ageru,あげる,上げる,မြှင့်သည်
74,ageru,あげる,,ပေးသည်
75,ageru,あげる,揚げる,မြှင့်တင်သည်။ ချက်ပြုတ်သည်။ ကြော်လှော်သည်။ ကုန်းမြေသို့တင်သည်
76,ageru,あげる,挙げる,နမူနာပြသည်။ တင်ပြသည်။
77,ageru,あげる,開ける,ဖွင့်သည်။
78,ago,あご,顎,မေးစေ့
79,akogare,あこがれ,憧れ,အားကျခြင်း၊ အထင်ကြီးခြင်း။
80,akogareru,あこがれる,憧れる,အားကျသည်။ မျှော်မှန်းတမ်းတသည်။
81,asa,あさ,麻,ဂုန်လျှော်ပင်၊ ဂုန်လျှော်။
82,asa,あさ,朝,မနက်
83,aza,あざ,痣,မွေးရာပါအမှတ်
84,asai,あさい,浅い,အနက်တိမ်သော၊ အတွေ့အကြုံနည်းသော၊ အရောင်နုသော
85,asagao,あさがお,朝顔,morning glory
86,asagohan,あさごはん,朝ご飯,မနက်စာ
87,asatte,あさって,,သန်ဘက်ခါ
88,asanebou(suru),あさねぼう（する）,朝寝坊（する）,မနက်အိပ်ယာထနောက်ကျခြင်း
89,asamashii,あさましい,浅ましい,ရှက်စရာကောင်းသော၊ စက်ဆုပ်ဖွယ်ရာရှိသော၊ ရွံစရာကောင်းသော၊ မသတီစရာဖြစ်သော
90,azamuku,あざむく,欺く,လိမ်သည်။ လှည့်စားသည်။ ကလိမ်ကျသည်။ ညာပြောသည်။ အမြင်မှားစေသည်။
91,azayaka(na),あざやか（な）,鮮やか（な）,ပေါ်လွင်သော၊ ပီပြင်သော၊ ထင်လင်းသော၊ ထင်ရှားသော၊ ကျွမ်းကျင်သော
92,azawarau,あざわらう,あざ笑う,ပျက်ရယ်ပြုသည်။ ရှုတ်ချရယ်မောသည်။ ချော်ချွတ်သည်။
93,ashi,あし,足,ခြေထောက်
94,aji,あじ,味,အရသာ
95,ajia,アジア,asia,အာရှတိုက်
96,ashiato,あしあと,足跡,ခြေရာ
97,ashikarazu,あしからず,,စိတ်မရှိနဲ့
98,ashikubi,あしくび,足首,ခြေချင်းဝတ်
99,ajikenai,あじけない,味気ない,ပျင်းစရာကောင်းသော
100,ashisutanto,アシスタント,assistant,လက်ထောက်
101,ashita,あした,明日,မနက်ဖြန်
102,ashimoto,あしもと,足元,ခြေရင်း၊ ခြေချနေရာ၊ ခြေလှမ်းပုံစံ၊ အနီးပတ်ဝန်းကျင်
103,ajiwai,あじわい,味わい,အရသာခံခြင်း၊ အနှစ်အရသာရှိခြင်း
